Time,X,Y,Vx,Vy,Speed,Fuel,Mass,Angle,Stage
0.580000,0.000002,1.241996,0.000001,4.186966,4.186966,0.141150,0.291300,1.570796,1
0.590000,0.000002,1.284600,0.000001,4.260390,4.260390,0.141000,0.291150,1.570796,1
0.600000,0.000002,1.327938,0.000001,4.333896,4.333896,0.140850,0.291000,1.570796,1
0.610000,0.000002,1.372013,0.000001,4.407482,4.407482,0.140700,0.290850,1.570796,1
0.620000,0.000002,1.416825,0.000001,4.481149,4.481149,0.140550,0.290700,1.570796,1
0.630000,0.000002,1.462374,0.000001,4.554898,4.554898,0.140400,0.290550,1.570796,1
0.640000,0.000002,1.508661,0.000001,4.628727,4.628727,0.140250,0.290400,1.570796,1
0.650000,0.000002,1.555687,0.000001,4.702636,4.702636,0.140100,0.290250,1.570796,1
0.660000,0.000002,1.603454,0.000001,4.776627,4.776627,0.139950,0.290100,1.570796,1
0.670000,0.000002,1.651961,0.000001,4.850698,4.850698,0.139800,0.289950,1.570796,1
0.680000,0.000002,1.701209,0.000001,4.924850,4.924850,0.139650,0.289800,1.570796,1
0.690000,0.000002,1.751200,0.000001,4.999082,4.999082,0.139500,0.289650,1.570796,1
0.700000,0.000002,1.801934,0.000001,5.073395,5.073395,0.139350,0.289500,1.570796,1
0.710000,0.000002,1.853412,0.000001,5.147789,5.147789,0.139200,0.289350,1.570796,1
0.720000,0.000002,1.905634,0.000001,5.222262,5.222262,0.139050,0.289200,1.570796,1
0.730000,0.000002,1.958603,0.000001,5.296816,5.296816,0.138900,0.289050,1.570796,1
0.740000,0.000002,2.012317,0.000001,5.371450,5.371450,0.138750,0.288900,1.570796,1
0.750000,0.000002,2.066779,0.000001,5.446165,5.446165,0.138600,0.288750,1.570796,1
0.760000,0.000002,2.121988,0.000001,5.520959,5.520959,0.138450,0.288600,1.570796,1
0.770000,0.000002,2.177947,0.000001,5.595834,5.595834,0.138300,0.288450,1.570796,1
0.780000,0.000002,2.234655,0.000001,5.670788,5.670788,0.138150,0.288300,1.570796,1
0.790000,0.000002,2.292113,0.000001,5.745823,5.745823,0.138000,0.288150,1.570796,1
0.800000,0.000002,2.350322,0.000001,5.820937,5.820937,0.137850,0.288000,1.570796,1
0.810000,0.000002,2.409283,0.000001,5.896131,5.896131,0.137700,0.287850,1.570796,1
0.820000,0.000002,2.468998,0.000001,5.971405,5.971405,0.137550,0.287700,1.570796,1
0.830000,0.000002,2.529465,0.000001,6.046759,6.046759,0.137400,0.287550,1.570796,1
0.840000,0.000002,2.590687,0.000001,6.122192,6.122192,0.137250,0.287400,1.570796,1
0.850000,0.000002,2.652664,0.000001,6.197705,6.197705,0.137100,0.287250,1.570796,1
0.860000,0.000002,2.715397,0.000001,6.273298,6.273298,0.136950,0.287100,1.570796,1
0.870000,0.000002,2.778887,0.000001,6.348969,6.348969,0.136800,0.286950,1.570796,1
0.880000,0.000002,2.843134,0.000001,6.424721,6.424721,0.136650,0.286800,1.570796,1
0.890000,0.000002,2.908139,0.000001,6.500551,6.500551,0.136500,0.286650,1.570796,1
0.900000,0.000002,2.973904,0.000001,6.576461,6.576461,0.136350,0.286500,1.570796,1
0.910000,0.000002,3.040429,0.000001,6.652449,6.652449,0.136200,0.286350,1.570796,1
0.920000,0.000002,3.107714,0.000001,6.728517,6.728517,0.136050,0.286200,1.570796,1
0.930000,0.000002,3.175760,0.000001,6.804664,6.804664,0.135900,0.286050,1.570796,1
0.940000,0.000002,3.244569,0.000001,6.880890,6.880890,0.135750,0.285900,1.570796,1
0.950000,0.000002,3.314141,0.000001,6.957195,6.957195,0.135600,0.285750,1.570796,1
0.960000,0.000002,3.384477,0.000001,7.033578,7.033578,0.135450,0.285600,1.570796,1
0.970000,0.000002,3.455577,0.000001,7.110041,7.110041,0.135300,0.285450,1.570796,1
0.980000,0.000002,3.527443,0.000001,7.186581,7.186581,0.135150,0.285300,1.570796,1
0.990000,0.000002,3.600075,0.000001,7.263201,7.263201,0.135000,0.285150,1.570796,1
1.000000,0.000002,3.673474,0.000001,7.339899,7.339899,0.134850,0.285000,1.570796,1
1.010000,0.000002,3.747641,0.000001,7.416675,7.416675,0.134700,0.284850,1.570796,1
1.020000,0.000002,3.822576,0.000001,7.493530,7.493530,0.134550,0.284700,1.570796,1
1.030000,0.000002,3.898281,0.000001,7.570463,7.570463,0.134400,0.284550,1.570796,1
1.040000,0.000002,3.974756,0.000001,7.647475,7.647475,0.134250,0.284400,1.570796,1
1.050000,0.000002,4.052001,0.000001,7.724564,7.724564,0.134100,0.284250,1.570796,1
1.060000,0.000002,4.130019,0.000001,7.801732,7.801732,0.133950,0.284100,1.570796,1
1.070000,0.000002,4.208808,0.000001,7.878977,7.878977,0.133800,0.283950,1.570796,1
1.080000,0.000002,4.288371,0.000001,7.956301,7.956301,0.133650,0.283800,1.570796,1
1.090000,0.000002,4.368708,0.000001,8.033702,8.033702,0.133500,0.283650,1.570796,1
1.100000,0.000002,4.449820,0.000001,8.111181,8.111181,0.133350,0.283500,1.570796,1
1.110000,0.000002,4.531708,0.000001,8.188738,8.188738,0.133200,0.283350,1.570796,1
1.120000,0.000002,4.614371,0.000001,8.266372,8.266372,0.133050,0.283200,1.570796,1
1.130000,0.000002,4.697812,0.000001,8.344084,8.344084,0.132900,0.283050,1.570796,1
1.140000,0.000002,4.782031,0.000001,8.421873,8.421873,0.132750,0.282900,1.570796,1
1.150000,0.000002,4.867028,0.000001,8.499740,8.499740,0.132600,0.282750,1.570796,1
1.160000,0.000002,4.952805,0.000001,8.577683,8.577683,0.132450,0.282600,1.570796,1
1.170000,0.000002,5.039362,0.000001,8.655704,8.655704,0.132300,0.282450,1.570796,1
1.180000,0.000002,5.126700,0.000001,8.733803,8.733803,0.132150,0.282300,1.570796,1
1.190000,0.000002,5.214820,0.000001,8.811978,8.811978,0.132000,0.282150,1.570796,1
1.200000,0.000002,5.303722,0.000001,8.890230,8.890230,0.131850,0.282000,1.570796,1
